car_id,brand,model,year,price,km_driven,fuel_type,transmission,owner_type,engine_cc,mileage,seats,city,seller_rating,insurance_valid
1.0,Kia,ModelA,2021.0,1955546.0,87409.0,Petrol,Automatic,Third,3540.0,23.33931406974364,3.0,Delhi,2.079894547421848,Yes
2.0,Audi,ModelD,2020.0,950350.0,28248.0,Diesel,Manual,Third,1292.0,14.014256858275845,3.0,Chennai,4.0736842844689685,No
3.0,Mercedes,ModelC,2009.0,1032477.0,179588.0,Diesel,Manual,First,2348.0,27.60309465820518,4.0,Mumbai,4.540061298189034,No
4.0,Ford,ModelD,2019.0,2952752.0,165133.0,Electric,Automatic,Third,1943.0,13.899934750420396,7.0,Bangalore,1.886108607609468,Yes
5.0,Kia,ModelB,2007.0,267647.0,160242.0,Petrol,Manual,Third,1769.0,16.269547196929008,7.0,Bangalore,2.8541913570356874,Yes
6.0,Mahindra,ModelD,2011.0,2433679.0,13024.0,Diesel,Automatic,Second,2359.0,22.41113694046917,7.0,Chennai,2.8812961917488256,Yes
7.0,BMW,ModelD,2015.0,535477.0,90947.0,Hybrid,Manual,Second,3928.0,22.767001302614617,3.0,Delhi,4.494301223038937,Yes
8.0,Kia,ModelE,2014.0,1783523.0,179875.0,Diesel,Automatic,First,2887.0,23.987694819747347,4.0,Bangalore,4.051196211503221,Yes
9.0,Mercedes,ModelE,2013.0,2749156.0,155368.0,Electric,Manual,Second,1439.0,12.240234261364114,2.0,Chennai,3.0523088734721995,No
10.0,Ford,ModelB,2018.0,7788200.0,96829.0,Petrol,Automatic,Second,972.0,26.989288598571108,6.0,Delhi,3.6829888018870935,No
11.0,Audi,ModelA,2017.0,1622534.0,97708.0,Petrol,Manual,Third,2370.0,20.6569426456652,2.0,Chennai,4.389420215637467,No
12.0,Mercedes,ModelD,2006.0,233004.0,91664.0,Diesel,Automatic,Third,1058.0,19.42643588210137,2.0,Delhi,1.0381558161021798,No
13.0,Mercedes,ModelB,2007.0,1681420.0,154329.0,Diesel,Manual,Second,1316.0,29.621952490270196,6.0,Pune,2.6115601242001945,No
14.0,Toyota,ModelA,2011.0,886261.0,148927.0,Petrol,Automatic,Second,3577.0,24.8075659388204,4.0,Delhi,4.628972669108315,Yes
15.0,Hyundai,ModelC,2022.0,2858010.0,90178.0,Petrol,Manual,Second,1322.0,12.360120532387498,4.0,Pune,3.9612521233758056,No
16.0,Ford,ModelE,2007.0,1622534.0,106121.0,Diesel,Automatic,First,2717.0,25.13078334452481,4.0,Pune,3.1713654973362986,No
17.0,Honda,ModelA,2014.0,150098.0,25025.0,Petrol,Manual,First,3686.0,11.90497867945739,2.0,Chennai,3.1185781081405337,No
18.0,Mercedes,ModelC,2011.0,2571465.0,140530.0,Hybrid,Manual,First,2964.0,10.549411250259697,4.0,Pune,2.391080390417751,No
19.0,Hyundai,ModelA,2013.0,2862081.0,68610.0,Diesel,Manual,Second,3031.0,18.072517905397945,5.0,Pune,3.082082134566058,No
20.0,Honda,ModelB,2021.0,2444351.0,75843.0,Petrol,Automatic,Second,2359.0,29.87156345638437,3.0,Chennai,3.621532797853813,Yes
21.0,Ford,ModelE,2015.0,226060.0,112237.0,Diesel,Manual,First,1939.0,13.497678723897252,2.0,Chennai,2.6734521537151723,No
22.0,Toyota,ModelB,2011.0,1622534.0,185903.0,Electric,Automatic,First,3009.0,23.4528868705358,4.0,Mumbai,3.856612585568696,No
23.0,Mahindra,ModelD,2018.0,1874329.0,179499.0,Diesel,Manual,Second,3390.0,13.467921324122386,7.0,Chennai,4.444928909041543,No
24.0,Hyundai,ModelA,2023.0,230544.0,135299.0,Diesel,Manual,Third,1638.0,24.49573949916772,7.0,Bangalore,1.618739392739445,No
25.0,Toyota,ModelA,2008.0,2721780.0,174578.0,Electric,Manual,First,1889.0,20.107073364756523,6.0,Pune,2.8061880912696977,No
26.0,Toyota,ModelC,2010.0,2896461.0,10668.0,Hybrid,Manual,Second,1893.0,23.599434201787524,6.0,Mumbai,2.6320803651403244,No
27.0,Mahindra,ModelE,2014.0,2803742.0,103618.0,Petrol,Automatic,Second,3294.0,14.057463518284692,2.0,Delhi,3.749859216198912,Yes
28.0,BMW,ModelB,2011.0,2944180.0,78233.0,Electric,Manual,Third,3263.0,20.167109751291846,5.0,Delhi,1.9994698610317172,No
496.0,Kia,ModelE,2017.0,2664395.0,160489.0,Diesel,Manual,Second,3379.0,29.91238119245413,4.0,Bangalore,2.984502809203293,Yes
30.0,Audi,ModelA,2018.0,2721578.0,86982.0,Petrol,Automatic,Second,3288.0,23.313010012519197,2.0,Chennai,4.509956966925952,Yes
31.0,Tata,ModelB,2008.0,493574.0,111133.0,Electric,Automatic,First,3585.0,19.869599961457556,5.0,Mumbai,2.6725263991744908,No
32.0,BMW,ModelD,2012.0,2665618.0,103618.0,Petrol,Manual,First,2769.0,28.46347977238529,4.0,Delhi,4.64406279991688,No
33.0,Ford,ModelA,2009.0,971808.0,51218.0,Petrol,Manual,Third,2359.0,10.317036844637526,7.0,Delhi,4.972654955733914,No
34.0,BMW,ModelE,2005.0,1772795.0,131649.0,Electric,Automatic,Third,3243.0,24.59847038571642,3.0,Pune,1.4243681997918085,Yes
496.0,Kia,ModelB,2008.0,2354103.0,12352.0,Petrol,Automatic,Second,3558.0,27.774930336276256,7.0,Bangalore,1.9322127519394343,No
36.0,Ford,ModelA,2007.0,662060.0,93835.0,Diesel,Automatic,First,2374.0,11.233491672419149,4.0,Chennai,4.801519005928373,No
